# Benzene dimer interaction energies
# Calculated in the supermolecule approach, at MP2/6-31G* level
# X      Y     Z    alpha  beta   gamma    E (Kcal/mol)
0.00   3.00   0.00   0.0   0.00   0.00  10.973731  
0.00   3.30   0.00   0.0   0.00   0.00   0.99257  
0.00   3.40   0.00   0.0   0.00   0.00   0.19617  
0.00   3.45   0.00   0.0   0.00   0.00  -0.30708  
0.00   3.50   0.00   0.0   0.00   0.00  -0.70212  
0.00   3.60   0.00   0.0   0.00   0.00  -1.25441  
0.00   3.65   0.00   0.0   0.00   0.00  -1.42333  
0.00   3.70   0.00   0.0   0.00   0.00  -1.56029  
0.00   3.90   0.00   0.0   0.00   0.00  -1.72180  
0.00   4.00   0.00   0.0   0.00   0.00  -1.68390  
0.00   4.10   0.00   0.0   0.00   0.00  -1.59198  
0.00   4.20   0.00   0.0   0.00   0.00  -1.47908  
0.00   4.30   0.00   0.0   0.00   0.00  -1.35276  
0.00   5.00   0.00   0.0   0.00   0.000 -0.58111
0.00   5.50   0.00   0.0   0.00   0.00  -0.28900
0.00   6.50   0.00   0.0   0.00   0.00  -0.05745  
0.00   8.00   0.00   0.0   0.00   0.00   0.007119  
0.00   9.00   0.00   0.0   0.00   0.00   0.012175  
0.00  10.00   0.00   0.0   0.00   0.00   0.011129  
0.00  11.00   0.00   0.0   0.00   0.00   0.008964  
0.00  12.00   0.00   0.0   0.00   0.00   0.00688  
0.00  14.00   0.00   0.0   0.00   0.00   0.00399 
0.00   0.00   4.30   0.00  90.00  90.00   4.43581
0.00   0.00   4.40   0.00  90.00  90.00   2.02850
0.00   0.00   4.50   0.00  90.00  90.00   0.34324
0.00   0.00   4.65   0.00  90.00  90.00  -1.20104
0.00   0.00   4.90   0.00  90.00  90.00  -2.19239
0.00   0.00   5.00   0.00  90.00  90.00  -2.279556
0.00   0.00   5.20   0.00  90.00  90.00  -2.19322
0.00   0.00   5.40   0.00  90.00  90.00  -1.94429
0.00   0.00   5.50   0.00  90.00  90.00  -1.79955
0.00   0.00   6.00   0.00  90.00  90.00  -1.13492
0.00   0.00   7.00   0.00  90.00  90.00  -0.43246
0.00   0.00   8.00   0.00  90.00  90.00  -0.18982
0.00   0.00   9.00   0.00  90.00  90.00  -0.09386
0.00   0.00  10.00   0.00  90.00  90.00  -0.06257
0.00   0.00  10.50   0.00  90.00  90.00  -0.03129
0.00   0.00  12.00   0.00  90.00  90.00  -0.017908
0.00   0.00  13.00   0.00  90.00  90.00  -0.011411
0.00   0.00  14.00   0.00  90.00  90.00  -0.007535
0.00   4.30   0.00  90.00   0.00   0.00   6.79598 
0.00   4.70   0.00  90.00   0.00   0.00  -1.04211 
0.00   5.00   0.00  90.00   0.00   0.00  -2.11742 
0.00   6.00   0.00  90.00   0.00   0.00  -1.08881 
0.00   8.00   0.00  90.00   0.00   0.00  -0.18036  
0.00   0.00   6.50   0.00   0.00  90.00   3.56836  
0.00   0.00   6.75   0.00   0.00  90.00   1.07624  
0.00   0.00   7.00   0.00   0.00  90.00   0.08774 
0.00   0.00   7.25   0.00   0.00  90.00  -0.256334  
0.00   0.00   7.50   0.00   0.00  90.00  -0.31440 
0.00   0.00   7.75   0.00   0.00  90.00  -0.289731  
0.00   0.00   8.00   0.00   0.00  90.00  -0.24475 
0.00   0.00   8.50   0.00   0.00  90.00  -0.15275 
0.00   0.00   9.00   0.00   0.00  90.00  -0.095533 
0.00   0.00   9.50   0.00   0.00  90.00  -0.06215  
0.00   0.00  10.00   0.00   0.00  90.00  -0.03129  
0.00   0.00  11.00   0.00   0.00  90.00  -0.021472  
0.00   0.00  13.00   0.00   0.00  90.00  -0.006661  
6.00   0.00   0.00   0.00  90.00  90.00   2.691777 
6.50   0.00   0.00   0.00  90.00  90.00  -0.446012 
6.75   0.00   0.00   0.00  90.00  90.00  -0.655601 
7.00   0.00   0.00   0.00  90.00  90.00  -0.628624 
9.00   0.00   0.00   0.00  90.00  90.00  -0.097922 
5.00   0.00   0.00  90.00  90.00  90.00  25.172003 
5.50   0.00   0.00  90.00  90.00  90.00   2.822296 
6.00   0.00   0.00  90.00  90.00  90.00  -1.183733 
7.00   0.00   0.00  90.00  90.00  90.00  -0.748093 
8.00   0.00   0.00  90.00  90.00  90.00  -0.252170 
0.00   0.00   6.50   0.00   0.00   0.00   3.73191   
0.00   0.00   6.90   0.00   0.00   0.00   0.46974   
0.00   0.00   7.00   0.00   0.00   0.00   0.17530   
0.00   0.00   7.25   0.00   0.00   0.00  -0.17777   
0.00   0.00   7.30   0.00   0.00   0.00  -0.17800
0.00   0.00   7.50   0.00   0.00   0.00  -0.25593   
0.00   0.00   7.75   0.00   0.00   0.00  -0.236950  
0.00   0.00   8.00   0.00   0.00   0.00  -0.19996   
0.00   0.00   8.50   0.00   0.00   0.00  -0.12104   
0.00   0.00   9.50   0.00   0.00   0.00  -0.01898   
0.00   0.00   11.0   0.00   0.00   0.00  -0.013433  
0.00   0.00   13.0   0.00   0.00   0.00  -0.003354  
6.25   0.00   0.00   0.00   0.00   0.00   1.17820  
6.50   0.00   0.00   0.00   0.00   0.00  -0.06454  
6.75   0.00   0.00   0.00   0.00   0.00  -0.435380  
7.00   0.00   0.00   0.00   0.00   0.00  -0.47664  
7.25   0.00   0.00   0.00   0.00   0.00  -0.407980  
7.50   0.00   0.00   0.00   0.00   0.00  -0.32227  
8.00   0.00   0.00   0.00   0.00   0.00  -0.18791  
10.0   0.00   0.00   0.00   0.00   0.00  -0.02942  
11.5   0.00   0.00   0.00   0.00   0.00  -0.009372  
